Type%Brand%Quantity%Price%Selling Price
Urea Fertilizer (46-0-0)%Complete Fertilizer (Urea)%50 kg bag%₱1,120%₱1,400
Urea Fertilizer (46-0-0)%Greenfield Urea%50 kg bag%₱1,120%₱1,400
Urea Fertilizer (46-0-0)%Atlas Urea%50 kg bag%₱1,120%₱1,400
Ammonium Sulfate (21-0-0)%Golden Urea Ammonium Sulfate%50 kg bag%₱1,232%₱1,568
Ammonium Sulfate (21-0-0)%Atlas Fertilizer Ammonium Sulfate%50 kg bag%₱1,232%₱1,568
Ammonium Sulfate (21-0-0)%YaraMila Hydro (Ammonium Sulfate based)%50 kg bag%₱1,232%₱1,568
Complete Fertilizer (14-14-14)%Trac Complete Fertilizer 14-14-14%50 kg bag%₱1,400%₱1,680
Complete Fertilizer (14-14-14)%Atlas Fertilizer Complete 14-14-14%50 kg bag%₱1,400%₱1,680
Complete Fertilizer (14-14-14)%Greenfield Complete Fertilizer%50 kg bag%₱1,400%₱1,680
NPK Fertilizer%GrowMore 20-20-20 NPK%1 kg%₱280%₱392
NPK Fertilizer%GrowMore 20-20-20 NPK%25 kg%₱840%₱1,120
NPK Fertilizer%YaraMila 16-16-16%25 kg bag%₱1,008%₱1,288
NPK Fertilizer%Peters Professional 20-20-20%25 kg%₱1,008%₱1,288
Organic Fertilizer%Durabloom Organic Fertilizer%50 kg bag%₱1,680%₱1,960
Organic Fertilizer%Biospark Organic Fertilizer%50 kg bag%₱1,680%₱1,960
Organic Fertilizer%Nutrich Organic Fertilizer%50 kg bag%₱1,680%₱1,960
Foliar Fertilizer%Vigormin Foliar Fertilizer%1 L%₱560%₱672
Foliar Fertilizer%Vigormin Foliar Fertilizer%5 L%₱2,240%₱2,520
Foliar Fertilizer%Fertigrow Foliar Fertilizer%1 L%₱560%₱672
Foliar Fertilizer%Fertigrow Foliar Fertilizer%5 L%₱2,240%₱2,520
Foliar Fertilizer%YaraVita Foliar Fertilizer%1 L%₱560%₱672
Foliar Fertilizer%YaraVita Foliar Fertilizer%5 L%₱2,240%₱2,520
